s,retailid,manitemid,y,m,d,efr,efc,ohb,promotypeid,srf_adew,srf_aheat,srf_amax,srf_aprcp,srf_cmf,srf_dew,srf_heatw,srf_hum,srf_max,srf_min,srf_prcp,srf_prcpp,srf_uv,srf_wnds,p_cci1,p_cci2,p_cci3,p_ces,p_cpi,p_cru,p_dies,p_emp,p_fern,p_fmr,p_gas,p_gern,p_hpe,p_hpi,p_hse,p_hsn,p_labf,p_lint,p_mern,p_mhrs,p_nfe,p_nhc,p_nhs,p_phm,p_rs,p_sint,p_smkt,p_uner,cy,zip_pop,age_median,white,black,asian,hispanic,fam_w_children,fam_female_head,house_rental,ed_bs,labor_force,commut_tele,commut_avg,inc_median_house,inc_mean_house,inc_mean_fam,inc_per_cap,house_rooms_median,house_oil
0,1,1,2012,1,3,11.2,11.2,890,0,4.3733347,-4.9595239,9.2245233,-0.02333333,5.9504765,-0.33261898,11.7406,-15.11904907,10.819761,5.3183344,-0.00595238,-6.428571701,0,-0.04095215,61.5,38.8,76.7,1085,227.505,102.96,3.087,16283531,14271.8,3.98,2.994,2385,240400,616,1260000,78,18365887,2.99,822.5,40.9,14391.6,88,135,6.52,360448,0,1277.06,11.3,0.72,63277,30.6,65655,1051,3635,55875,7144,2925,4877,1850,25274,328,27.1,41491,50808,45373,12984,4.8000002,0
0,1,1,2012,1,5,11.2,11.2,890,0,3.2999995,-3.2307148,3.7502365,-0.06047619,0.92309524,0.01095221,10.79155,-5.333332062,1.6185722,0.5947628,-0.03809524,-19.90476227,0,-1.723095,61.5,38.8,76.7,1029,227.505,101.81,3.082,2835837,2566.3,3.98,2.898,505.9,175700,616,1760000,192,3048698,3.06,735.35,41.9,2546,274,403,7.04,360448,0.01,1281.06,7,0.87,35295,35.5,40003,27991,1764,591,3885,2272,4478,5168,17841,567,27.5,48027,64628,61438,27279,6.1999998,2464
0,1,1,2012,1,1,11.2,11.2,890,0,13.009762,-14.954046,14.292858,0.00428571,3.5023806,7.900238,15.96594,15.1428566,8.9047623,19.105,-0.05476191,35.80952454,0,24.826905,61.5,38.8,76.7,1124,227.505,98.83,2.964,5873849,5717.3,3.98,2.902,832.4,150600,616,1010000,43,6522160,2.89,771.7,41.4,5768.7,88,110,6.31,360448,0,1257.6,9.9,0.54,27338,34.299999,53546,201,292,858,4237,652,721,2886,14304,377,34.200001,70698,77216,74503,25493,6.5999999,0
0,1,1,2012,1,5,11.2,11.2,890,0,3.1461906,-6.4307137,13.464049,-0.00095238,14.669286,3.702381,9.247932,-7.23809433,13.941904,4.752619,0,-0.357142925,0,4.8457149,61.5,38.8,76.7,1029,227.505,101.81,3.082,11515624,10724.2,3.98,2.898,1788.8,175700,616,1760000,192,12462387,3.06,795.16,44.2,10465.7,274,403,7.04,360448,0.01,1281.06,7.6,0.87,23690,28.6,39490,1928,1061,4432,2786,959,3993,2595,12486,253,17.6,34706,45872,47099,19806,5.0999999,0
2,1,1,2012,1,3,11.2,11.2,890,0,-20.070952,10.120714,-14.753573,-0.07809523,-9.8661903,-12.715238,9.94371,-22.45238113,-11.509763,-6.2283327,-0.03928572,-27.2857151,0,6.8785711,61.5,38.8,76.7,1029,227.505,102.96,3.087,4165580,3961.7,3.98,2.994,712.9,175700,616,1760000,192,4654007,2.99,680.21,41.2,3979.3,274,403,6.52,360448,0,1277.06,10.5,0.72,,,0,0,0,0,,,,,,,,,,,,,
0,1,1,2012,1,1,11.2,11.2,890,0,-1.1004753,-9.1914282,9.4607141,-0.02702138,7.1516662,-1.5759523,9.350677,-16.92856979,7.7485712,11.618332,-0.04166667,-5.619047165,-0.642857134,8.0200008,61.5,38.8,76.7,1029,227.505,98.83,2.964,11515624,10724.2,3.98,2.902,1788.8,175700,616,1760000,192,12462387,2.89,795.16,44.2,10465.7,274,403,6.31,360448,0,1257.6,7.6,0.54,11112,34.599998,4107,15945,147,1945,1175,851,646,563,4569,33,29.6,35384,43149,40259,14635,5.5,0
0,1,1,2012,1,7,11.2,11.2,890,0,-8.164761,3.6521428,-12.214287,-0.02564442,1.0404763,0.03999996,2.456268,-0.952377319,-0.76119232,-2.8588104,-0.1797619,1.452381134,0,-9.0814284,61.5,38.8,76.7,1085,227.505,101.56,3.117,1784824,1630.8,3.98,2.889,291.3,240400,616,1260000,78,1974839,3.02,740.94,39.9,1643.1,88,135,7.1,360448,0.01,1277.81,9.6,0.97,10555,41.799999,19088,126,379,872,1211,540,2085,1121,5391,258,15.7,32437,43476,37360,20262,4.9000001,72
0,1,1,2012,1,3,11.2,11.2,890,0,-9.1914284,1.2466676,1.896189,-0.01,2.254762,-6.7326187,24.86554,-24.97618866,1.6066649,-3.5723801,-0.02380952,-15.19047642,0,-3.3516671,61.5,38.8,76.7,1124,227.505,102.96,3.087,2769701,2668.7,3.98,2.994,439.1,150600,616,1010000,43,2997084,2.99,716.36,40.2,2725.6,88,110,6.52,360448,0,1277.06,7.6,0.72,7829,35,15465,11,49,57,1145,226,222,298,3918,91,36.400002,46897,50571,51925,17726,5.5,87
0,1,1,2012,1,7,11.2,11.2,890,0,12.125477,2.7857144,-7.428093,-0.01380952,-0.73761993,7.9754763,17.01956,21.7857132,-1.5092828,1.2873802,-0.00238095,-5.452381134,-0.071428575,-2.7311901,61.5,38.8,76.7,1085,227.505,101.56,3.117,16283531,14271.8,3.98,2.889,2385,240400,616,1260000,78,18365887,3.02,822.5,40.9,14391.6,88,135,7.1,360448,0.01,1277.81,11.3,0.97,74009,33.900002,88264,7505,17935,33832,9834,3855,13040,7216,33813,987,25.5,42970,54009,49514,19715,4.5,19
0,1,1,2012,1,3,11.2,11.2,890,0,-11.003334,8.238096,-7.3335724,-0.06190476,-6.5459524,-10.354286,10.78541,-21.90476227,-6.8107147,1.7635708,-0.03809524,-22.59523773,0,13.00238,61.5,38.8,76.7,1338,227.505,102.96,3.087,8583615,8747,3.98,2.994,1458.3,266600,616,600000,25,9449907,2.99,756.69,40.4,8645.5,90,75,6.52,360448,0,1277.06,9.2,0.72,85987,28.9,125876,2007,28828,10255,10453,2682,19820,4201,28604,654,36.200001,26648,43936,29942,12678,4,7509
